一	いち one
一時	いちじ one o'clock
二	に two
二時	にじ two o'clock
三	さん three
三時	さんじ three o'clock
四	よん four
四時	よんじ four o'clock
五	ご five
五時	ごじ five o'clock
六	ろく six
六時	ろくじ six o'clock
六百	ろっぴゃく six hundred
七	シチ/なな seven
七時	しちじ seven o'clock
八	はち eight
八時	はちじ eight o'clock
八百	はっぴゃく eight hundred
九	きゅう nine
九時	くじ nine o'clock
十	じゅう ten
十時	じゅうじ ten o'clock
百	ひゃく hundred
三百	さんびゃく three hundred
千	せん thousand
三千	さんぜん three thousand
八千	はっせん eight thousand
一万	いちまん ten thousand
十万	じゅうまん one hundred thousand
百万	ひゃくまん one million
百円	ひゃくえん one hundred yen
