兄	あに	(my) older brother
大家さん	おおやさん	landlord
お返し	おかえし	return (as a token of gratitude)
奥さん	おくさん	(your/his) wife
おじさん		uncle; middle-aged man
おばさん		aunt; middle-aged woman
クラブ		club; student society
クリスマス		Christmas
ご主人	ごしゅじん	(your/her) husband
カップ		tumbler; glass
皿	さら	plate; dish
時間	じかん	time
チョコレート		chocolate
電子メール	でんしメール	e-mail
ぬいぐるみ		stuffed animal (e.g. teddy bear)
ネクタイ		necktie
母	はは	(my) mother
バレンタインデー		St. Valentine's Day
ビデオカメラ		camcorder
夫婦	ふうふ	married couple; husband and wife
ホワイトデー		White Day
マフラー		winter scarf
漫画	まんが	comic book
マンション		multistory apartment; condominium
みかん		mandarin
指輪	ゆびわ	ring
ラジオ		radio
両親	りょうしん	parents
履歴書	りれきしょ	resume
欲しい	ほしい	to want (thing が)
けち（な）		stingy; cheap
送る	おくる	to send
似合う	にあう	to look good (on somebody) (person に)
あきらめる		to give up
あげる		to give (to others) (thing を person に)
くれる		to give (me) (thing を person に)
できる		to come into existence; to be made (～が)
相談する	そうだんする	to consult (person に)
プルポーズする		to propose marriage (person に)
同じ	おなじ	same
去年	きょねん	last year
～君	～くん	Mr./Mrs. ... (casual)
こんな～		...like this; this kind of...
～たち		[makes a noun plural]
私たち	わたしたち	we
ちょうど		exactly
よく		well
～個	～こ	[generic counter for small items]
～冊	～さつ	[counter for bound volumes]
～台	～だい	[counter for equipment]
～匹	～ひき	[counter for smaller animals]
～本	～ほん	[counter for long objects]
悩み	なやみ	worry
アドバイス		advice
年上	としうえ	being older
時代	じだい	era
先輩	せんぱい	senior members of a group
～年間	～ねんかん	for ... years
付き合う	つきあう	to date
愛す	あいす	to love
どうしたらいい		What should one do
父親	ちちおや	father
急に	きゅうに	suddenly
出張	しゅっちょう	business trip
本当に	ほんとうに	really
場合	ばあい	case
