絵	え	painting; picture; drawing
映画館	えいがかん	movie theater
外国人	がいこくじん	foreigner
家具	かぐ	furniture
観光	かんこう	sightseeing
結婚式	けっこんしき	wedding
地震	じしん	earthquake
締切	しめきり	deadline
ジャケット		jacket
習慣	しゅうかん	custom
税金	ぜいきん	tax
卒業式	そつぎょうしき	graduation ceremony
そば		soba; Japanese buckwheat noodle
地図	ちず	map
電池	でんち	battery
庭	にわ	garden
発表	はっぴょう	presentation
番組	ばんぐみ	broadcast program
プール		swimming pool
ペット		pet
予定	よてい	schedule
旅館	りょかん	inn
割引券	わりびきけん	discount coupon
広い	ひろい	spacious; wide
売る	うる	to sell
下ろす	おろす	to withdraw (money)
かく		to draw; to paint
探す	さがす	to look for
誘う	さそう	to invite
付き合う	つきあう	(1) to date (someone) (person と) (2) to keep company (purpose に)
着く	つく	to arrive (place に)
保険に入る	ほけんにはいる	to buy insurance
気をつける	きをつける	to be cautious/careful (～に)
調べる	しらべる	to look into (a matter) (matter を)
捨てる	すてる	to throw away
見える	みえる	to be visible
する		to decide on (an item) (thing に)
卒業する	そつぎょうする	to graduate (from...) (school を)
予約する	よやくする	to reserve
一日中	いちにちじゅう	all day long
～けど		..., but; ..., so
最近	さいきん	recently
～について		about...; concerning...
～番	～ばん	number...
～目	～め	-th
もう一度	もういちど	one more time
ホテル		hotel
ビジネスホテル		business hotel
ユースホステル		youth hostel
旅館	りょかん	民宿	みんしゅく	guest house (Room prices usually include breakfast and dinner.)
～泊	～はく	... nights (何拍/一泊/二泊/三泊/四泊・・・・・・)
～付	～つき	with...
食事付	しょくじつき	with meals
一泊二食付	いっぱくにしょくつき	one night with two meals
チェックイン（する）		checking in
チェックアウト（する）		checking out
シングル		single room
ダブル		double room
ツイン		twin room
～名	～めい	...person(s)
フロント		receptionist; front desk
生まれる	うまれる	to be born
原爆	げんばく	atomic bomb
残す	のこす	to leave; to preserve
平和	へいわ	peace
島	しま	island
緑	みどり	green
注意する	ちゅういする	to watch out
南	みなみ	south
一年中	いちねんじゅう	all year
楽しむ	たのしむ	to enjoy
自然	しぜん	nature
紅葉	こうよう	red leaves; autumn tints
竹	たけ	bamboo
走る	はしる	to run
景色	けしき	scenery
建物	たてもの	building
昔	むかし	old days
ビル		building
地下	ちか	underground
広場	ひろば	square; open space
戦争	せんそう	war
手	て	hand; arm
通る	とおる	to pass; to go through
ホームレス		homeless
