駅員	えきいん（さん）	station attendant
親	おや	parent
	ごみ	garbage
砂糖	さとう	sugar
奨学金	しょうがくきん	scholarship
親せき	しんせき	relatives
推薦状	すいせんじょう	letter of recommendation
大学院	だいがくいん	graduate school
台風	たいふう	typhoon
日	ひ	day
	ファイル	file
道	みち	way; road; direction
目覚まし時計	めざましどけい	alarm clock
汚い	きたない	dirty
起こす	おこす	to wake (someone) up
	おごる	to treat (someone) to a meal (person に meal を)
落ち込む	おちこむ	to get depressed
困る	こまる	to have difficulty
出す	だす	to take (something) out; to hand in (something)
連れていく	つれていく	to take (someone) to (a place) (person を place に)
直す	なおす	to correct; to fix
道に迷う	みちにまよう	to become lost; to lose one's way
訳す	やくす	to translate (source を target に)
笑う	わらう	to laugh
	アイロンをかける	to iron (clothes)
集める	あつめる	to collect
入れる	いれる	to put (something) in (thing を place に)
乗り遅れる	のりおくれる	to miss (a train, bus, etc.) (～に)
見せる	みせる	to show
朝寝坊する	あさねぼうする	to oversleep
案内する	あんないする	to show (someone) around
説明する	せつめいする	to explain
迎えに来る	むかえにくる	to come to pick up (someone)
	ええと	well...; let me see...
今日中に	きょうじゅうに	by the end of today
この間	このあいだ	the other day
	このぐらい	about this much (=これぐらい/このくらい/これくらい)
	ごめん	I'm sorry. (casual)
失礼します	しつれいします	Excuse me.; Sorry to interrupt you.
自分で	じぶんで	(do something) oneself
授業中に	じゅぎょうちゅうに	in class; during the class
	ほかの	other
空	そら	sky
飛ぶ	とぶ	to fly
違う	ちがう	to be different
	そんな～	such...
未来	みらい	future
	ロボット	robot
道具	どうぐ	tool
	ポケット	pocket
小学生	しょうがくせい	elementary school students
助ける	たすける	to help; to rescue
喜んで	よろこんで	happily
続く	つづく	to continue
～以上	～いじょう	...or more
売れる	うれる	to be sold
例えば	たとえば	for example
	どこでも	anywhere
	すると	... Then, ...
場所	ばしょ	place
	また	in addition
弱い	よわい	weak
味方	みかた	person on one's side
	こと	things; matters
戻る	もどる	to return; to go back
教室	きょうしつ	classroom
海外	かいがい	overseas
