お客さん	おきゃくさん	guest; visitor; client; customer
男	おとこ	man
お湯	おゆ	hot water
女	おんな	woman
かぎ		lock; key
紙	かみ	paper
給料	きゅうりょう	salary
コンタクト		contact lenses
最低	さいてい	the lowest; the worst
サラリーマン		salaryman; company employee
残業	ざんぎょう	overtime work
ストーブ		heater
宝くじ	たからくじ	lottery
違い	ちがい	differences
ニュース		news
ひげ		beard
秘密	ひみつ	secret
寮	りょう	dormitory
旅行会社	りょこうがいしゃ	travel agency
うらやましい		envious
少ない	すくない	a little; a few
強い	つよい	strong
選ぶ	えらぶ	to choose; to select
お湯を沸かす	おゆをわかす	to boil water
髪をとかす	かみをとかす	to comb one's hair
込む	こむ	to get crowded
宝くじに当たる	たからくじにあたる	to win a lottery
脱ぐ	ぬぐ	to take off (clothes)
ひげをそる		to shave one's beard
いれる		to make tea, coffee, etc.
かぎをかける		to lock (～に)
足りる	たりる	to be sufficient; to be enough
慣れる	なれる	to get used to... (～に)
化粧する	けしょうする	to put makeup on
就職する	しゅうしょくする	to get a full-time job (at...) (company に)
する		to wear small items (necktie, watch, etc.)
離婚する	りこんする	to get a divorce
おめでとうございます		Congratulations!
～かな（あ）		I wonder... (casual)
自分	じぶん	oneself
ずいぶん		very
そうか		I see. (casual)
それに		moreover, ...
例えば	たとえば	for example
～に比べて	～にくらべて	compared with...
～によると		according to...
前	まえ	before...
やっぱり		after all
６０年代	ろくじゅうねんだい	60's
関係	かんけい	relations
芸術	げいじゅつ	art
主に	おもに	mainly
音楽家	おんがくか	musician
詩	し	poem
発表する	はっぴょうする	to make public; to publish
数える	かぞえる	to count
雲	くも	cloud
名前をつける	なまえをつける	to name
完成する	かんせいする	to be completed
このような		like this
作品	さくひん	artistic piece
展覧会	てんらんかい	art exhibition
開く	ひらく	to hold (an event)
天井	てんじょう	ceiling
文字	もじ	letter; character
～のてめのX		X for the sake of...
活動	かつどう	activities
裸	はだか	naked
正しい	ただしい	correct
だいセット	大セット	big hit
しかし		however
分野	ぶんや	field; realm
俳句	はいく	haiku (Japanese poetry)
はしご		ladders
虫眼鏡	むしめがね	magnifying glasses
主婦	しゅふ	"house husband; ""stay at home dad"""
銃で撃たれる	じゅうでうたれる	be shot
