後	あと	the rest
エアコン		air conditioning
カーテン		curtain
牛乳	ぎゅうにゅう	milk
シャンプー		shampoo
しょう油	しょうゆ	soy sauce
スイッチ		switch
スカート		skirt
外	そと	outside
タオル		towel
日記	にっき	diary
ポップコーン		popcorn
家賃	やちん	rent
夕方	ゆうがた	evening
ラジカセ		casette player with a radio
留守番電話	るすばんでんわ	answering machine
冷蔵庫	れいぞうこ	refrigerator
ろうそく		candle
明るい	あかるい	bright
気分が悪い	きぶんがわるい	to feel sick
恥ずかしい	はずかしい	embarrassing; to feel embarrassed
開く	あく	(something) opens (～が)
謝る	あやまる	to apologize
押す	おす	to press; to push
落とす	おとす	to drop (something)
お湯が沸く	おゆがわく	water boils
転ぶ	ころぶ	to fall down
壊す	こわす	to break (something) (～を)
咲く	さく	to bloom
閉まる	しまる	(something) closes (～が)
助かる	たすかる	to be saved; to be helped
頼む	たのむ	to ask (a favor)
つく		(something) turns on (～が)
汚す	よごす	to make dirty (～を)
落ちる	おちる	(something) drops (～が)
考える	かんがえる	to think (about); to consider
消える	きえる	(something) goes off
壊れる	こわれる	(something) breaks (～が)
汚れる	よごれる	to become dirty (～が)
注文する	ちゅうもんする	to place an order
今すぐ	いますぐ	right away
おかげで		thanks to... (～の)
お先に失礼します	おさきにしつれいします	See you. (lit., I'm leaving ahead of you.)
お疲れ様（でした）	おつかれさま（でした）	You must be tired after working so hard. (ritualistic expression)
～（ん）だろう		short form of ～（ん）でしょう
どうしよう		What should I/we do?
本当に	ほんとうに	really
まず		first of all
～までに		by (time/date)
目的	もくてき	object; purpose
女子学生	じょしがくせい	female student
男子学生	だんしがくせい	male student
家庭教師	かていきょうし	tutor
力仕事	ちからしごと	physical labor such as construction
洋服	ようふく	clothes
サークル		club
生活費	せいかつひ	the cost of living
種類	しゅるい	a kind; a variety
事務	じむ	clerical work
生活のゆとり	せいかつのゆとり	extra money to spare for the cost of living
貯金	ちょきん	savings
ワンルームマンション		one-room apartment; a studio
食費	しょくひ	food cost
～代	～だい	charge; fee
電気代	でんきだい	charge for electricity
毎月	まいつき	every month
引っ越し	ひっこし	moving
初めは	はじめは	at first
親しい	したしい	close; intimate
