奥様	おくさま	(your/his) wife (polite)
お子さん	おこさん	(your/their) child (polite)
お礼	おれい	expression of gratitude
警護	けいご	honorific language
こちら		this way (polite)
出張	しゅっちょう	business trip
種類	しゅるい	a kind; a sort
性格	せいかく	personality
中学生	ちゅうがくせい	junior high school student
どちら		where (polite)
怠け者	なまけもの	lazy person
悩み	なやみ	worry
恥ずかしがり屋	はずかしがりや	shy person
話	はなし	chat; talk
部長	ぶちょう	department manager
文化	ぶんか	culture
間違い	まちがい	mistake
仲がいい	なかがいい	be on good/close terms; to get along well
まじめ（な）		serious; sober; diligent
いらっしゃる		honorific expression for いく, くる, and いる
送る	おくる	to walk/drive (someone) (person を place まで)
怒る	おこる	to get angry
おっしゃる		honorific expression for いう
お休みになる	おやすみになる	honorific expression for ねる
決まる	きまる	to be decided (～が)
下さる	くださる	honorific expression for くれる
ご覧になる	ごらんになる	honorific expression for みる
知り合う	しりあう	to get acquainted with (～と)
～ていらっしゃる		honorific expression for ～ている
なさる		honorific expression for する
引っ越す	ひっこす	to move (to another place to live) (～に)
召し上がる	めしあがる	honorific expression for たべる and のむ
呼ぶ	よぶ	to call (one's name); to invite
寄る	よる	to stop by
遅れる	おくれる	to become late
かける		to sit down
晴れる	はれる	to become sunny
もてる		to be popular (in terms of romantic interest) (people に)
遠慮する	えんりょする	to hold back for the time being; to refrain from
ごちそうする		to treat/invite (someone) to a meal (person に meal を)
招待する	しょうたいする	to invite someone (to an event/a place) (person を event/place に)
注意する	ちゅういする	to watch out; to give warning
話をする	はなしをする	to have a talk
おととい		the day before yesterday
なぜ		why (=どうして)
本当は	ほんとうは	in fact; originally
毎朝	まいあさ	every morning
まだ		still
～名様	～めいさま	party of ...people
ようこそ		Welcome.
よろしくお伝えください	よろしくおつたえください	Please give my best regards (to...) (～に)
いかが		how (polite expression of どう)
たつ		(time) pass
～中	～ちゅう	while...
たいへん		greatly
お世話になる	おせわになる	to be in someone's care (～に)
思い出す	おもいだす	to recall
なつかしい		to miss; to long for
それでは		well then
みな様	みなさま	everyone (polite expression of みなさん)
大切にする	たいせつにする	to take good care of
突然	とつぜん	suddenly
友人	ゆうじん	friend
国際	こくさい	international
電気工学	でんきこうがく	electric engineering
研究する	けんきゅうする	to do research
受ける	うける	to take (an examination)
～のために		for...
申し込む	もうしこむ	to apply (～に)
もし～たら		if...
質問	しつもん	question
申し訳ありません	もうしわけありません	You have my apologies.
どうぞよろしくお願いします	どうぞよろしくおねがいします	Thank you in advance.
