あちら		that way (polite)
宇宙人	うちゅうじん	space alien
音	おと	sound
係りの者	かかりのもの	our person in charge
角	かど	corner
神様	かみさま	God
空港	くうこう	airport
字	じ	letter; character
支店	してん	branch office
趣味	しゅみ	hobby; pastime
小説	しょうせつ	novel
信号	しんごう	traffic light
スニーカー		sneakers
扇子	せんす	fan
月	つき	moon
ハイヒール		high heels
～屋	～や	...shop
ゆうべ		last night
重い	おもい	heavy; serious
歩く	あるく	to walk
致す	いたす	extra-modest expression for する
頂く	いただく	extra-modest expression for たべる and のむ
頂く	いただく	humble expression for もらう
伺う	うかがう	to humbly visit; to humbly ask
おる		extra-modest expression for いる
ござる		extra-modest expression for ある
～ておる		extra-modest expression for ～ている
～でござる		extra-modest expression for です
参る	まいる	extra-modest expression for いく and くる
曲がる	まがる	to turn (right/left) (corner を direction に)
申す	もうす	extra-modest expression for いう
戻る	もどる	to return; to come back
聞こえる	きこえる	to be audible (～が)
差し上げる	さしあげる	humble expression for あげる
伝える	つたえる	to convey (message)
待たせる	またせる	to keep (someone) waiting
交換する	こうかんする	to exchange
生活する	せいかつする	to lead a life
返品する	へんぴんする	to return (merchandise)
おや？		Oh!
～階	～かい	...th floor
かしこまりました		Certainly.
さあ		I am not sure,...
失礼しました	しつれいしました	I'm very sorry.
少々	しょうしょう	a few seconds
それでは		if that is the case...
できれば		if possible
誠に	まことに	really (very polite)
また		again
～みたいなX		X such as...
申し訳ありません	もうしわけありません	You have my apologies.
よろしかったら		if it is okay (polite)
落語	らくご	comic monologue
落語家	らくごか	comic storyteller
身ぶり	みぶり	gesture
いなか		the country
値段	ねだん	price
茶店	ちゃみせ	teahouse
えさ		feed
止まる	とまる	to stop
する		to cost
きっと		surely
主人	すじん	owner
あんなに		so; such
だます		to deceive
抱く	だく	to hold something in one's arms
にこにこする		to smile
無理な	むりな	impossible
うれしそうに		happily
やった		I did it
心	こころ	mind; heart
何度も	なんども	many times
絶対に	ぜったいに	definitely; no matter what
渡す	わたす	to give; to hand
がっかりする		to be disappointed
ひっかく		to scratch
最悪	さいあく	the worst
あぶない		unsafe; dangerous
