赤ちゃん	あかちゃん	baby
蚊	か	mosquito
会議	かいぎ	business meeting; conference
ガソリン		gasoline
環境	かんきょう	environment
警察	けいさつ	police; police station
工場	こうじょう	factory
事	こと	things; matters
終電	しゅうでん	last train
スピーチ		speech
政府	せいふ	government
ちかん		sexual offender; lascivious man
同僚	どうりょう	colleague
泥棒	どろぼう	theif; burglar
バイト		abbreviation for アルバイト
犯人	はんにん	criminal
ポスター		poster
昔	むかし	old days; past
文句	もんく	complaint
文句を言う	もんくをいう	to complain
留守	るす	absence; not at home
遠い	とおい	far (away)
ひどい		awful
安全な	あんぜんな	safe
大切な	たいせつな	precious; valuable
めちゃくちゃな		messy; disorganized
置く	おく	to put; to lay; to place
気が付く	きがつく	to notice
ける		to kick
刺す	さす	to sting; to bite (bug); to stab
触る	さわる	to touch (〜に)
捕まる	つかまる	to be arrested; to be caught
包む	つつむ	to wrap; to cover
殴る	なぐる	to strike; to hit; to punch
盗む	ぬすむ	to steal; to rob
貼る	はる	to post
踏む	ふむ	to step on (〜を)
ふる		to turn down (somebody); to reject; to jilt
焼く	やく	to bake
やる		to give (to pets, plants, younger siblings, etc.)
いじめる		to bully
着替える	きがえる	to change clothes
ためる		to save money
続ける	つづける	to continue
ほめる		to praise; to say nice things
間違える	まちがえる	to make a mistake
見つける	みつける	to find
準備する	じゅんびする	to prepare
ばかにする		to insult; to make a fool of... (〜を)
びっくりする		to be surprised
昼寝をする	ひるねをする	to take a nap
連絡する	れんらくする	to contact (〜に)
〜間に	〜あいだに	while...
ころ		time of...; when...
少し	すこし	a little
とにかく		anyhow; anyway
迷信	めいしん	superstition
起こる	おこる	to occur; to happen
多くの〜	おおくの〜	many...
信じる	しんじる	to believe
ただの〜		nothing more than...
入院する	にゅういんする	to be hospitalized
占い	うらない	fortunetelling
気にする	きにする	to worry
長い間	ながいあいだ	long time
一生懸命	いっしょうけんめい	very hard
ぜいたくをする		to indulge in luxury
めったに〜ない		seldom
食事	しょくじ	meal
ところが		however; on the contrary
楽しみ	たのしみ	pleasure
通う	かよう	to commute to (〜に)
不便な	ふべんな	inconvenient
心配な	しんぱいな	worried about
お守り	おまもり	charm (against evils); amulet
