相手	あいて	partner
受付	うけつけ	reception desk
英会話	えいかいわ	English conversation
お嬢さん	おじょうさん	(someone's) daughter (polite)
家事	かじ	household matters
風	かぜ	wind
木	き	tree
期末試験	きまつしけん	final examination
後輩	こうはい	junior members of a group
猿	さる	monkey
自由	じゆう	freedom
塾	じゅく	cram school
書類	しょるい	document
先輩	せんぱい	senior members of a group
一人暮らし	ひとりぐらし	living alone
部下	ぶか	subordinate
復習	ふくしゅう	review lessons
プロジェクト		project
ボール		ball
無駄遣い	むだづかい	waste (money)
免許	めんきょ	license
予習	よしゅう	preparation of lessons
うるさい		noisy; annoying
心配な	しんぱいな	worried about (〜が)
貧乏な	びんぼうな	poor
ぺらぺらな		fluent (language が)
変な	へんな	strange; unusual
楽な	らくな	easy; comfortable
勝つ	かつ	to win (〜に)
コピーを取る	コピーをとる	to make a photocopy
運ぶ	はこぶ	to carry
走る	はしる	to run
拾う	ひろう	to pick up something
吹く	ふく	to blow
放っておく	ほ（う）っておく	to leave (someone/something) alone; to neglect
間に合う	まにあう	to be in time (〜に)
迎えに行く	むかえにいく	to go pick up (someone)
計画に行く	けいかくにいく	to make a plan
育てる	そだてる	to raise; to bring up
助ける	たすける	to help; to rescue
負ける	まける	to lose (a match) (〜に)
お願いする	おねがいする	to pray for help
賛成する	さんせいする	to agree (〜に)
失敗する	しっぱいする	to fail; to be unsuccessful
徹夜する	てつやする	to stay up all night
反対する	はんたいする	to oppose; to object to (〜に)
翻訳する	ほんやくする	to translate
こんなふう		in this way
ずっと		for a long time; all the time
絶対に	ぜったいに	definitely
そんなこと（は）ない		I don't think so
〜とか		...for example
何度も	なんども	many times
のんびり		in a leisurely way
もう少し	もうすこし	a little more
うらやましがる		(somebody is) envious
帰ってくる	かえってくる	to come back home
相変わらず	あいかわらず	as usual
タイプ		type
うまく		well; successfully; skillfully
うまくいく		to go well
待ち遠しい	まちどおしい	to wait eagerly for... ~(〜が)
メッセージ		message
なんだか		somehow
しかたがない		cannot be helped
ホーム		platform
楽しそうに	たのしそうに	joyfully
親友	しんゆう	best friend
勇気	ゆうき	courage
逃げる	にげる	to run away; to escape
それで		therefore
代わりに	かわりに	instead
二日間	ふつかかん	for two days
