思い出	おもいで	memory
海外旅行	かいがいりょこう	trip to a foreign country
体	からだ	body
靴下	くつした	socks
国際電話	こくさいでんわ	　international call
授業料	じゅぎょうりょう	tuition
小学校	しょうがっこう	elementary school
選挙	せんきょ	election
	タイヤ	tire
	ただ	free of charge
場所	ばしょ	place
別荘	べっそう	villa; vacation home
	ボーナス	bonus
盆踊り	ぼんおどり	Bon dance (Japanese traditional dance)
面接	めんせつ	interview
夕食	ゆうしょく	dinner
理想	りそう	ideal
留守番	るすばん	looking after a house during one's absence
	まずい	(food is) terrible
雨がやむ	あめがやむ	the rain stops
	いなくなる	(someone) is gone; to disappear
お世話になる	おせわになる	to be in someone's care (〜に)
	おなかをこわす	to have a stomachache
違う	ちがう	to be different; wrong
	なくなる	to be lost; to disappear
悪口を言う	わるぐちをいう	to talk behind someone's back
受ける	うける	to take (an examination, interview, etc.)
換える	かえる	to change
離れる	はなれる	(something/someone) separates; parts from
〜顔をする	〜かおをする	to look... (facial expression)
	がっかりする	to be disappointed
我慢する	がまんする	to be tolerant/patient
世話をする	せわをする	to take care of... (〜の)
同情する	どうじょうする	to sympathize (〜に)
	パンクする	(tire) goes flat
戻ってくる	もどってくる	(something/someone) comes back
優勝する	ゆうしょうする	to win a championship
	いや	no
元気でね	げんきでね	Take care of yourself.
	そうそう	You are right.
	そろそろ	it is about time to...
	そんな〜	such...; that kind of...
	ものすごく	extremely
表情	ひょうじょう	facial expression
最初の〜	さいしょの〜	first...
最後の〜	さいごの〜	last...
冗談	じょうだん	joke
簡単に	かんたんに	easily
横	よこ	side
比べる	くらべる	to compare
口	くち	mouth
	このように	like this; this way
	〜によって	depending on...
人間	にんげん	human being
	ほとんど	almost
同じような	おなじような	similar
社会	しゃかい	society
調査	ちょうさ	survey
結果	けっか	result
感情	かんじょう	feeling; emotion
表す	あらわす	to express; to show
全員	ぜんいん	all members
答え	こたえ	answer
軽蔑	けいべつ	contempt
