石山	いしやま (family name)
初めて	はじめて for the first time
失礼	しつれい Excuse me
申す	もうす (humble form of 言う)
教える	おしえる to teach
前	まえ before; in front
留学	りゅうがく study abroad
今度	こんど one of these days
三田	みた (family name)
多い	おおい there is/are a lot
大学院生	だいがくいんせい graduate student
ブラウン君	ブラウンくん Mr. Brown (casual)
電気工学	でんきこうがく electrical engineering
専攻	せんこう major
学部	がくぶ college
君も	きみも you too
上手	じょうず good
お願い	おねがい request, wish
時	とき time
実は	じつは actually; in fact
中学	ちゅうがく junior high school
文化	ぶんか culture
女性	じょせい woman
帰る	かえる to go home
取る	とる to take
生まれる	うまれる to be born
私	わたし I
仕事	しごと work, job
泊まる	とまる to stay [over night] (v.i.)
気に入る	きにいる to like ~; to be fond
間に	あいだに while; during the time when; between
家	いえ house
所	ところ place
電話	でんわ phone
日記	にっき diary
成田	なりた Narita [International Airport]
町	まち town; city
着く	つく to arrive
同じ	おなじ same
自分	じぶん oneself
近い	ちかい close
歩く	あるく to walk
月曜日	げつようび Monday
男性	だんせい man; male
去年	きょねん last year
仕方	しかた way [of doing something]
美しい	うつくしい beautiful
文法	ぶんぽう grammar
考え方	かんがえかた way of thinking
