紹介	しょうかい	introduction
初めて	はじめて	for the first time
Vたばかり		have just done ~
石山	いしやま	(family name)
失礼ですが	しつれいですが	Excuse me [, but ...]
～でいらっしゃる		(honoric form of です)
申す	もうす	(humble form of 言う)
教える	おしえる	to teach
~年前から	～ねんまえから	since ~ years ago
留学する	りゅうがくする	to study abroad
三田	みた	(family name)
宿題	しゅくだい	homework
多い	おおい	there is/are a lot
がんばる		to do one's best; to try hard
大学院生	だいがくいんせい	graduate student
池田	いけだ	(family name)
友達	ともだち	friend
加藤	かとう	(family name)
僕	ぼく	I (used by male speakers towards equals or someone lower in status)
～君	～くん	(a form attached to a name in addressing someone. It is generaly used by male speakers towards someone equal or lower in status.)
大学院	だいがくいん	graduate school
電気工学	でんきこうがく	electrical engineering
(～を)専攻する	(～を)せんこうする	to major [in ~]
まゆみ		(family given name)
学部	がくぶ	college
君	きみ	you (informal for men)
趣味	しゅみ	hobby
(～が)上手(な)	(～が)じょうず(な)	good [at ~]
今度	こんど	one of these days
一度	いちど	once
ぜひ		by all means
お願いします	おねがいします	Please. (lit., I request.)
ところで		by the way
まだまだです		[I am] not good yet.
興味	きょうみ	interest
実は	じつは	actually; in fact
中学	ちゅうがく	junior high school
隣	となり	next door; next to
家族	かぞく	family
一郎	いちろう	(male given name; often given to the oldest son)
遊ぶ	あそぶ	to play
文化	ぶんか	culture
知識	ちしき	knowledge
豊富(な)	ほうふ(な)	bountiful; plenty
飛行機	ひこうき	airplane
(～に)座る	(～に)すわる	to sit [in/on ~]
女性	じょせい	woman
話しかける	はなしかける	to talk to
帰る	かえる	to go home
前田	まえだ	(family name)
ゆみ		(female given name)
先月	せんげつ	last month
(～を)卒業する	(～を)そつぎょうする	to graduate [from ~]
(～に)勤める	(～に)つとめる	to work [for ~]; to be employed [at ~]
～週間	～しゅうかん	~ week[s]
休暇	きゅうか	vacation
取る	とる	to take
帰るところ(だ)	かえるところ(だ)	to be returning home
生まれる	うまれる	to be born
(～で)育つ	(～で)そだつ	to grow up [in ~] (v.i.)
～ことになっている		It has been arranged that
一晩	ひとばん	one night
泊まる	とまる	to stay [over night] (v.i.)
とても		very [much]
(～が)気に入る	(～が)きにいる	to like ~; to be fond [of ~]
間に	あいだに	while; during the time when
両親	りょうしん	parents
所	ところ	place
名刺	めいし	[name] card; business card
電話番号	でんわばんごう	telephone number
青山	あおやま	(family name)
弘	ひろし	(male given name)
日記	にっき	diary
成田	なりた	Narita [International Airport]
町	まち	town; city
（～に）着く	（～に）つく	to arrive [at ~]
十数時間	じゅうすうじかん	ten plus a few hours
かかる		it takes (with respect to time or money) (v.i.)
日付変更線	ひづけへんこうせん	International Date Line
同じ	おなじ	same
空港	くうこう	airport
迎える	むかえる	to welcome; to meet; to greet
みつかる		~ is found (v.i.)
泊める	とめる	to have ~ stay [over night] (v.t.)
～ことになる		it has been decided/arranged that ~
自分	じぶん	oneself
ファースト・ネーム		first name
(～を…で)呼ぶ	(～を…で)よぶ	to call ~ by ...
年上	としうえ	older
どうも		somehow; no matter how hard one may try
～にくい		hard to ~; difficult to ~
時差ボケ	じさボケ	jet lag
眠る	ねむる	to sleep
アパート探し	アパートさがし	apartment hunting
連れていく	つれていく	to take someone to
近く	ちかく	nearby; in the neighborhood
結局	けっきょく	finally; in the end
歩く	あるく	to walk
適当(な)	てきとう(な)	appropriate; suitable
見つける	みつける	to find ~ (v.t.)
引っ越す	ひっこす	to move to a new place of residence
～ことにする		to decide to
今晩	こんばん	tonight
知人	ちじん	acquaintance
若い	わかい	young
男性	だんせい	man; male
ていねい(な)		polite
ペラペラ		fluently
自己紹介	じこしょうかい	self-introduction
びっくりする		to be surprised
去年	きょねん	last year
仕方	しかた	way [of doing something]
そのうち		before long
それから		and then; after that
中年	ちゅうねん	middle-aged
お互い	おたがい	each other
Vたら		when V
美しい	うつくしい	beautiful
娘	むすめ	daughter
とても～ない		can't possibly ~
文法	ぶんぽう	grammar
考え方	かんがえかた	way of thinking
ずいぶん		quite a lot
違う	ちがう	to differ; to be different
らしい		it seems that; evidently
カルチャーショック		culture shock
