朝	あさ morning
午後	ごご afternoon
変（な）	へん（な） strange
意味	いみ meaning
下げる	さげる to lower (v.t.)
（～が）分かる	（～が）わかる to understand ~
目覚まし時計	めざましどけい alarm clock
眠い	ねむい sleepy
声	こえ voice
二時半	にじはん 2:30
難しい	むずかしい difficult; challenging
大変	たいへん tough situation
外	そと outside
大雨	おおあめ downpour; heavy rain
急ぐ	いそぐ to hurry
先に	さきに ahead [of someone]
後で	あとで later
吉田	よしだ (family name)
時代	じだい era
出す	だす to send; to mail
僕	ぼく I (used by male speakers towards equals or someone lower in status)
日米	にちべい Japan and the U.S. (=日本とアメリカ)
（～に）困る	（～に）こまる to have difficulty (with ~)
多分	たぶん probably
代わり	かわり instead of; on the other hand; while ~
（～に）当たる	（～に）あたる to correspond [to ~]
相手	あいて addressee; the person you are talking to
目上	めうえ person of higher status; one's senior
友人	ゆうじん friend
訳す	やくす to translate
説明	せつめい explanation
例えば	たとえば for example
食事	しょくじ meal
例	れい example
対して	たいして with respect to; for; in contrast
数日前に	すうじつまえに several days ago
決まり文句	きまりもんく set phrase
用語	ようご terms
方が	ほうが more than
客	きゃく guest
子供	こども child
覚える	おぼえる to learn; to commit to memory; to remember
大事（な）	だいじ（な） important
社会	しゃかい society
教育	きょういく education
