あいさつ		greeting
言葉	ことば	word[s]; expression[s]
例	れい	example
朝	あさ	morning
おかしい		strange; odd; funny
けさ		this morning
変（な）	へん（な）	strange
会釈する	えしゃくする	to greet by bowing slightly
意味	いみ	meaning
こういうふうに		this way; in this manner
頭	あたま	head
下げる	さげる	to lower (v.t.)
おじぎ		bow
（～が）分かる	（～が）わかる	to understand ~
目覚まし時計	めざましどけい	alarm clock
鳴る	なる	to ring (v.i.)
寮	りょう	dormitory
部屋	へや	room
目を覚ます	めをさます	to wake up
同室	どうしつ	same room
眠そう（な）	ねむそう（な）	looking sleepy
声	こえ	voice
寝る	ねる	to sleep; to go to bed
それに		moreover; besides
難しい	むずかしい	difficult
なかなか～ない		not easily
終わる	おわる	to finish (v.i.)
時計	とけい	clock; watch
大変だ	たいへんだ	Oh, no!
遅れる	おくれる	to be late
～ちゃう		(contraction of てしまう)
外	そと	outside
しかも		moreover; besides
ザーザー降り	ざーざーぶり	pouring rain
大雨	おおあめ	downpour; heavy rain
すごく		(to rain) hard; terribly; tremendously
降る	ふる	to fall (e.g., rain, snow, etc.)
急ぐ	いそぐ	to hurry; to be in a hurry
先に	さきに	ahead [of someone]
また後で	またあとで	See you later.
吉田	よしだ	(family name)
（～に）出会う	（～に）であう	to run into [someone]
高校時代	こうこうじだい	high school years
同級生	どうきゅうせい	classmate
いつ～か分からない	いつ～かわからない	don't know when ~
ごめん		Sorry. (informal)
手紙を出す	てがみをだす	to send/mail a letter
２１０号室	２１０ごうしつ	Room 210
日米	にちべい	Japan and the U.S. (=日本とアメリカ)
（～に）困る	（～に）こまる	to have difficulty (with ~)
質問	しつもん	question
多分	たぶん	probably
病気	びょうき	sickness
ふつう		common; usual
しばらくぶり		for the first time in a long time
しか～ない		only; no more than
つまり		namely; in other words; in short
非常に	ひじょうに	extremely; very
その代わりに	そのかわりに	in place of that
寒い	さむい	cold (with reference to weather)
～によって		depending on ~
よい		＝いい
（～に）当たる	（～に）あたる	to correspond [to ~]
（～と）別れる	（～と）わかれる	to part [from ~]; to say farewell [to ~]
相手	あいて	addressee; the person you are talking to
目上	めうえ	person of higher status; one's senior
友人	ゆうじん	friend
訳す	やくす	to translate
説明	せつめい	explanation
顔	かお	face
変な顔をする	へんなかおをする	to look annoyed; to look puzzled
例えば	たとえば	for example
食事	しょくじ	meal
それに対して	それにたいして	in response to that
数日前に	すうじつまえに	several days ago
先日	せんじつ	the other day
決まり文句	きまりもんく	set phrase
一般的	いっぱんてき	generally
用語	ようご	terms
~の方が・・・	～のほうが・・・	~ is more ... than
客	きゃく	guest
食事を出す	しょくじをだす	to offer a meal
子供	こども	child
決まる	きまる	to be set/fixed (v.i.)
覚える	おぼえる	to learn; to commit to memory; to remember
大事（な）	だいじ（な）	important
社会教育	しゃかいきょういく	social education
