頼む	たのむ to request
忘れる	わすれる to forget
三枚	さんまい three flat objects
受ける	うける to take [an exam]
申し込む	もうしこむ to apply
切手	きって postage stamp
送る	おくる to send
部屋	へや room
痛い	いたい painful
悪い	わるい bad
主[な]	おも[な] main
利用する	りようする to make use of
一番	いちばん most
便利[な]	べんり[な] convenient
払う	はらう to pay
違う	ちがう different
行う	おこなう to carry out; to conduct (usually used in written language)
目的	もくてき purpose
以外	いがい other than
助ける	たすける to help
入学	にゅうがく admission to school
全部	ぜんぶ all
終わる	おわる something ends
帰国する	きこくする to return to one's home country
必ずしも～ない	かならずしも～ない not necessarily
音楽	おんがく music
友達	ともだち friend
会話	かいわ dialogue
者	もの person (＝人）
特に	とくに particularly
