許可	きょか	permission
ホームステイ先	ホームステイさき	留学生がホームステイをしている家
写真	しゃしん	picture; photograph
財布	さいふ	wallet
背	せい	one's height
アメリカ史	アメリカし	American history
弁護士	べんごし	lawyer
別に～ない	べつに～ない	not particularly
珍しい	めずらしい	rare
お兄さん	おにいさん	[someone else's] older brother
妹さん	いもうとさん	[someone else's] younger sister
[～に]似ている	[～に]にている	to resemble [~]
かわいい		cute; lovely
全然～ない	ぜんぜん～ない	not at all
州都	しゅうと	state capital
人口	じんこう	population
たしか		if I remember correctly
間違う	まちがう	to make a mistake
二番目に[大きい]	にばんめに[おおきい]	second [largest]
へえ		Really? Gee! You're kidding.
有名[な]	ゆうめい[な]	famous
知事	ちじ	governor
湖	みずうみ	lake
冬	ふゆ	winter
春	はる	spring
秋	あき	fall
すばらしい		wonderful; terrific
皆さん	みなさん	all of you
求める	もとめる	to request; to ask for
週末	しゅうまつ	weekend
今度の	こんどの	this [coming] ~
偶然	ぐうぜん	by chance
なんて		things like (＝などと)
夕食	ゆうしょく	dinner (lit., evening meal)
久しぶり	ひさしぶり	for the first time in a long time
[～に]する		to decide [~on]; to have/take [~]
Vたところだ		have just done something
本当に	ほんとうに	really; truly
かまいません		it's all right; one doesn't mind
上田	うえだ	(family name)
みち子	みちこ	(female given name)
拝啓	はいけい	(formal greeting used at the beginning of a letter)
末	すえ	end
暖かい	あたたかい	pleasantly warm (with reference to weather)
夏	なつ	summer
Nのように		like N
暑い	あつい	hot (with reference to weather)
さえ		even
紅葉	こうよう	fall colors [of leaves]
長い	ながい	long
ごぶさたする		to neglect to write for a long time; not to correspond for some time
その後	そのご	since I saw you last; since that time
いつのまにか		before I knew it
経つ	たつ	[time] passes
面白い	おもしろい	interesting
経験	けいけん	experience
速い	はやい	fast; quick
今学期	こんがっき	this semester
だいぶ		fairly well; to a large extent; pretty much
生活	せいかつ	life
[～に]なれる		to be accustomed to [to~]
役に立つ	やくにたつ	to be useful
ひどい		terrible; awful
ショック		shock
~ないで済む	～ないですむ	to get by without ~ing; to come off without ~
助かる	たすかる	to be saved; [something] helps (v.i.)
料理	りょうり	cooking; cuisine
体	からだ	body; health
ずいぶん		quite a lot
体重	たいじゅう	[body] weight
変わる	かわる	to change (v.i.)
仏教	ぶっきょう	Buddhism
新聞記事	しんぶんきじ	newspaper article
漢字	かんじ	Chinese character
一回	いっかい	per occasion
～倍	～ばい	~ times [as much]
～すぎる		to do something too much; too ~
足りる	たりる	to be sufficient
暇な時	ひまなとき	free time
方	かた	(honorific form for 人)
[～に]よろしく		Say hello [to ~] for me.
敬具	けいぐ	Sincerely (used at the end of a letter)
～様	～さま	Dear ~ (added to the name of the addressee at the end of a letter)
