いち	一	one
いちじ	一時	one o'clock
に	二	two
にじ	二時	two o'clock
さん	三	three
さんじ	三時	three o'clock
よん	四	four
よんじ	四時	four o'clock
ご	五	five
ごじ	五時	five o'clock
ろく	六	six
ろくじ	六時	six o'clock
ろっぴゃく	六百	six hundred
シチ/なな	七	seven
しちじ	七時	seven o'clock
はち	八	eight
はちじ	八時	eight o'clock
はっぴゃく	八百	eight hundred
きゅう	九	nine
くじ	九時	nine o'clock
じゅう	十	ten
じゅうじ	十時	ten o'clock
ひゃく	百	hundred
さんびゃく	三百	three hundred
ろっぴゃく	六百	six hundred
はっぴゃく	八百	eight hundred
せん	千	thousand
さんぜん	三千	three thousand
はっせん	八千	eight thousand
いちまん	一万	ten thousand
じゅうまん	十万	one hundred thousand
ひゃくまん	百万	one million
ひゃくえん	百円	one hundred yen
いちじ	一時	one o'clock
