あに	兄	(my) older brother
おおやさん	大家さん	landlord
おかえし	お返し	return (as a token of gratitude)
おくさん	奥さん	(your/his) wife
おじさん		uncle; middle-aged man
おばさん		aunt; middle-aged woman
クラブ		club; student society
クリスマス		Christmas
ごしゅじん	ご主人	(your/her) husband
カップ		tumbler; glass
さら	皿	plate; dish
じかん	時間	time
チョコレート		chocolate
でんしメール	電子メール	e-mail
ぬいぐるみ		stuffed animal (e.g. teddy bear)
ネクタイ		necktie
はは	母	(my) mother
バレンタインデー		St. Valentine's Day
ビデオカメラ		camcorder
ふうふ	夫婦	married couple; husband and wife
ホワイトデー		White Day
マフラー		winter scarf
まんが	漫画	comic book
マンション		multistory apartment; condominium
みかん		mandarin
ゆびわ	指輪	ring
ラジオ		radio
りょうしん	両親	parents
りれきしょ	履歴書	resume
ほしい	欲しい	to want (thing が)
けち（な）		stingy; cheap
おくる	送る	to send
にあう	似合う	to look good (on somebody) (person に)
あきらめる		to give up
あげる		to give (to others) (thing を person に)
くれる		to give (me) (thing を person に)
できる		to come into existence; to be made (～が)
そうだんする	相談する	to consult (person に)
プルポーズする		to propose marriage (person に)
おなじ	同じ	same
きょねん	去年	last year
～くん	～君	Mr./Mrs. ... (casual)
こんな～		...like this; this kind of...
～たち		[makes a noun plural]
わたしたち	私たち	we
ちょうど		exactly
よく		well
～こ	～個	[generic counter for small items]
～さつ	～冊	[counter for bound volumes]
～だい	～台	[counter for equipment]
～ひき	～匹	[counter for smaller animals]
～ほん	～本	[counter for long objects]
なやみ	悩み	worry
アドバイス		advice
としうえ	年上	being older
じだい	時代	era
せんぱい	先輩	senior members of a group
～ねんかん	～年間	for ... years
つきあう	付き合う	to date
あいす	愛す	to love
どうしたらいい		What should one do
ちちおや	父親	father
きゅうに	急に	suddenly
しゅっちょう	出張	business trip
ほんとうに	本当に	really
ばあい	場合	case
