えきいん（さん）	駅員	station attendant
おや	親	parent
ごみ		garbage
さとう	砂糖	sugar
しょうがくきん	奨学金	scholarship
しんせき	親せき	relatives
すいせんじょう	推薦状	letter of recommendation
だいがくいん	大学院	graduate school
たいふう	台風	typhoon
ひ	日	day
ファイル		file
みち	道	way; road; direction
めざましどけい	目覚まし時計	alarm clock
きたない	汚い	dirty
おこす	起こす	to wake (someone) up
おごる		to treat (someone) to a meal (person に meal を)
おちこむ	落ち込む	to get depressed
こまる	困る	to have difficulty
だす	出す	to take (something) out; to hand in (something)
つれていく	連れていく	to take (someone) to (a place) (person を place に)
なおす	直す	to correct; to fix
みちにまよう	道に迷う	to become lost; to lose one's way
やくす	訳す	to translate (source を target に)
わらう	笑う	to laugh
アイロンをかける		to iron (clothes)
あつめる	集める	to collect
いれる	入れる	to put (something) in (thing を place に)
のりおくれる	乗り遅れる	to miss (a train, bus, etc.) (～に)
みせる	見せる	to show
あさねぼうする	朝寝坊する	to oversleep
あんないする	案内する	to show (someone) around
せつめいする	説明する	to explain
むかえにくる	迎えに来る	to come to pick up (someone)
ええと		well...; let me see...
きょうじゅうに	今日中に	by the end of today
このあいだ	この間	the other day
このぐらい		about this much (=これぐらい/このくらい/これくらい)
ごめん		I'm sorry. (casual)
しつれいします	失礼します	Excuse me.; Sorry to interrupt you.
じぶんで	自分で	(do something) oneself
じゅぎょうちゅうに	授業中に	in class; during the class
ほかの		other
そら	空	sky
とぶ	飛ぶ	to fly
ちがう	違う	to be different
そんな～		such...
みらい	未来	future
ロボット		robot
どうぐ	道具	tool
ポケット		pocket
しょうがくせい	小学生	elementary school students
たすける	助ける	to help; to rescue
よろこんで	喜んで	happily
つづく	続く	to continue
～いじょう	～以上	...or more
うれる	売れる	to be sold
たとえば	例えば	for example
どこでも		anywhere
すると		... Then, ...
ばしょ	場所	place
また		in addition
よわい	弱い	weak
みかた	味方	person on one's side
こと		things; matters
もどる	戻る	to return; to go back
きょうしつ	教室	classroom
かいがい	海外	overseas
