あかちゃん	赤ちゃん	baby
か	蚊	mosquito
かいぎ	会議	business meeting; conference
ガソリン		gasoline
かんきょう	環境	environment
けいさつ	警察	police; police station
こうじょう	工場	factory
こと	事	things; matters
しゅうでん	終電	last train
スピーチ		speech
せいふ	政府	government
ちかん		sexual offender; lascivious man
どうりょう	同僚	colleague
どろぼう	泥棒	theif; burglar
バイト		abbreviation for アルバイト
はんにん	犯人	criminal
ポスター		poster
むかし	昔	old days; past
もんく	文句	complaint
もんくをいう	文句を言う	to complain
るす	留守	absence; not at home
とおい	遠い	far (away)
ひどい		awful
あんぜんな	安全な	safe
たいせつな	大切な	precious; valuable
めちゃくちゃな		messy; disorganized
おく	置く	to put; to lay; to place
きがつく	気が付く	to notice
ける		to kick
さす	刺す	to sting; to bite (bug); to stab
さわる	触る	to touch (〜に)
つかまる	捕まる	to be arrested; to be caught
つつむ	包む	to wrap; to cover
なぐる	殴る	to strike; to hit; to punch
ぬすむ	盗む	to steal; to rob
はる	貼る	to post
ふむ	踏む	to step on (〜を)
ふる		to turn down (somebody); to reject; to jilt
やく	焼く	to bake
やる		to give (to pets, plants, younger siblings, etc.)
いじめる		to bully
きがえる	着替える	to change clothes
ためる		to save money
つづける	続ける	to continue
ほめる		to praise; to say nice things
まちがえる	間違える	to make a mistake
みつける	見つける	to find
じゅんびする	準備する	to prepare
ばかにする		to insult; to make a fool of... (〜を)
びっくりする		to be surprised
ひるねをする	昼寝をする	to take a nap
れんらくする	連絡する	to contact (〜に)
〜あいだに	〜間に	while...
ころ		time of...; when...
すこし	少し	a little
とにかく		anyhow; anyway
めいしん	迷信	superstition
おこる	起こる	to occur; to happen
おおくの〜	多くの〜	many...
しんじる	信じる	to believe
ただの〜		nothing more than...
にゅういんする	入院する	to be hospitalized
うらない	占い	fortunetelling
きにする	気にする	to worry
ながいあいだ	長い間	long time
いっしょうけんめい	一生懸命	very hard
ぜいたくをする		to indulge in luxury
めったに〜ない		seldom
しょくじ	食事	meal
ところが		however; on the contrary
たのしみ	楽しみ	pleasure
かよう	通う	to commute to (〜に)
ふべんな	不便な	inconvenient
しんぱいな	心配な	worried about
おまもり	お守り	charm (against evils); amulet
