たのむ	頼む	to request
けんきゅうしつ	研究室	[professor's] office
わすれる	忘れる	to forget
～まい	～枚	(counter for thin, flat objects such as sheets of paper)
おねがい	お願い	request
きまつしけん	期末試験	final exam (lit., semester-end exam)
～のこと		it's about ~
[期末試験を]うける	[期末試験を]受ける	to take [an exam]
しかたない	仕方ない	It can't be helped.
けっこうです		That's fine.
うかがう		(humble form of 行く and 来る)
すいせんじょう	推薦状	letter of recommendation
もんぶしょう	文部省	Ministry of Education
もうしこう	申し込む	to apply
ようし	用紙	form
あてさき	宛先	address to send mail to
ふうとう	封筒	envelope
きって	切手	postage stamp
はる		to psate; to attach
しめきり	締切	deadline
おくる	送る	to send
もうしわけありません	申しわけありません	I am sorry. (polite)
じゅぎょう	授業	class
きょうしつ	教室	classroom
かす	貸す	to lend
ねつ	熱	fever
あたまがいたい	頭が痛い	to have a headache (lit., the head is hurting)
だいじょうぶ		all right
わるいけど	悪いけど	I am sorry, but
よる	寄る	to stop by
じょうほう	情報	information
おも[な]	主[な]	main
こうかんプログラム	交換プログラム	exchange program
りようする	利用する	to make use of
いちばん	一番	most
べんり[な]	便利[な]	convenient
そのばあい	素の場合	in that case
じゅぎょうりょう	授業料	tuition
はらう	払う	to pay
かず	数	number
だいたい		approximately; in most cases; in general
ふつう	普通	common; usual
えらぶ	選ぶ	to choose
おおければおおいほど	多ければ多いほど	the more [students] there are, the more ~
しょるいせんこう	書類選考	screening by application forms; selection by examining one's papers
めんせつ	面接	interview
おこなう	行う	to carry out; to conduct (usually used in written language)
せいせき	成績	grade; academic record
せいかく	性格	character; personality
たいど	態度	attitude
もくてき	目的	purpose
はっきりする		to become clear
ゆうせんする	優先する	to give priority; to prefer
いがい	以外	other than
ほとんど～ない		hardly
たすける	助ける	to help
にゅうがく	入学	admission to school
ぜんぶ	全部	all
きこくする	帰国する	to return to one's home country
たんい	単位	credit [for a course]
みとめる	認める	to recognize; to approve
こうしょうする	交渉する	to negotiate
かならずしも～ない	必ずしも～ない	not necessarily
わけではない		it's not the case that
りゅうがくせいべっか	留学生別科	special division for foreign students
こくさいがくぶ	国際学部	International Division
そのほか		besides; in addition
ぶんがく	文学	literature
れきし	歴史	history
けいざい	経済	economics
せいじ	政治	politics
しゅうきょう	宗教	religion
しかし		however; but
サークルかつどう	サークル活動	extracurricular activities
おんがく	音楽	music
なるべく		if possible; as~as possible
べきだ		should
かてい	家庭	home; family
Vことができる		can V
きぼう	希望	wish; hope
きぼうしゃ	希望者	one who wishes to do ~ （＝希望する人）
もの	者	person (＝人）
とくに	特に	particularly
じゅうたくじじょう	住宅事情	housing conditions
わるい	悪い	bad
