ウエイター		waiter
おじいさん		grandfather; old man
おたく		(someone's) house/home
おとな	大人	adult
がいこくご	外国語	foreign language
がっき	楽器	musical instrument
からて	空手	karate
カレー		curry
きもの	着物	kimono; Japanese traditional dress
ケーキ		cake
こうこく	広告	advertisement
こうちゃ	紅茶	tea (black tea)
ことば	言葉	language
ゴルフ		golf
セーター		sweater
ぞう	像	elephant
バイオリン		violin
バイク		motorbike
ぶっか	物価	(consumer) prices
ぶんぽう	文法	grammar
べんごし	弁護士	lawyer
ぼしゅう	募集	recruitment
みせ	店	shop; store
やくざ		yakuza; gangster
やくそく	約束	promise; appointment
レポート		(term) paper
わたくし	私	I (formal)
うれしい		glad
かなしい	悲しい	sad
からい	辛い	hot and spicy; salty
きびしい	厳しい	strict
ちかい	近い	close; near
いろいろな		various; different kinds of
しあわせな	幸せな	happy (lasting happiness)
だめな		no good
あむ	編む	to knit
かす	貸す	to lend; to rent (thing を person に)
がんばる	頑張る	to do one's best; to try hard
なく	泣く	to cry
みがく	磨く	to brush (teeth); to polish
やくそくをまもる	約束を守る	to keep a promise
かんどうする	感動する	to be moved/touched (by...) （に）
いらっしゃいませ		(someone honorable) is present/home
かい	回	...times
キロ		...kilometers; ...kilograms
じつは	実は	as a matter of fact, ...
ぜんぶ	全部	all
ともうします	と申します	my name is ...
よろしくおねがいします	よろしくお願いします	thank you (in advance)
けいざい	経済	economics
とこや	床屋	barber shop
びよういん	美容院	beauty parlor
こうざ	口座	account
りし	利子	interest
てすうりょう	手数料	commission
つうちょう	通帳	passbook
よきん	預金	savings
ひゃくえんだま	百円玉	100-yen coin
きんがく	金額	amount
あんしょうばんごう	暗証番号	personal identification number
こうざをひらきたいんですが。	口座をひらきたいんですが。	I would like to open an account.
こうざをとじたいんですが。	口座を閉じたいんですが。	I would like to close an account.
ドルをえんにかえてください。	ドルを円にかえてください。	Please change dollars into yen.
こぎってをげんきんにしたいんですけど。	小切手を現金にしたいんですけど。	I would like to cash this check.
こうざにおかねをふりこみたいんですが。	口座にお金を振り込みたいんですが。	I would like to deposit money into the account.
アメリカにそうきんしたいんですが。	アメリカに送金したいんですが。	I would like to send the money to America.
いちまんえんさつをせんえんさつじゅうまいにりょうがえできますか。	一万円札を千円札十枚に両替できますか。	Can you change a 10,000-yen bill into ten 1,000 yen bills?
おかねをおろします。	お金をおろします。	I will withdraw money.
けいけん	経験	experience
とくに	特に	especially
めずらしい		rare
なんでも		anything; everything
ニヤニヤする		to grin
ふあんな	不安な	uneasy; worried
きぶんがわるい	気分が悪い	to feel sick
からだ	体	body
からだにいい	体にいい	good for health
いちにちにいちど	一日に一度	once in a lifetime
やっぱり		after all
もう～ない		not any longer
まんいんでんしゃ	満員電車	jam-packed train
だいいちいんしょう	第一印象	the first impression
こむ	込む	to get crowded
こんでいる	込んでいる	to be crowded
くうこう	空港	airport
つく	着く	to arrive （～に）
ラッシュ		the rush hour
スーツケース		suitcase
おなじ	同じ	same
かんがえる	考える	to think about... （～のことを）
ひる	昼	noon
