え	絵	painting; picture; drawing
えいがかん	映画館	movie theater
がいこくじん	外国人	foreigner
かぐ	家具	furniture
かんこう	観光	sightseeing
けっこんしき	結婚式	wedding
じしん	地震	earthquake
しめきり	締切	deadline
ジャケット		jacket
しゅうかん	習慣	custom
ぜいきん	税金	tax
そつぎょうしき	卒業式	graduation ceremony
そば		soba; Japanese buckwheat noodle
ちず	地図	map
でんち	電池	battery
にわ	庭	garden
はっぴょう	発表	presentation
ばんぐみ	番組	broadcast program
プール		swimming pool
ペット		pet
よてい	予定	schedule
りょかん	旅館	inn
わりびきけん	割引券	discount coupon
ひろい	広い	spacious; wide
うる	売る	to sell
おろす	下ろす	to withdraw (money)
かく		to draw; to paint
さがす	探す	to look for
さそう	誘う	to invite
つきあう	付き合う	(1) to date (someone) (person と) (2) to keep company (purpose に)
（～に）つく	着く	to arrive (at a place)
ほけんにはいる	保険に入る	to buy insurance
（～に）きをつける	気をつける	to be cautious/careful
（～を）しらべる	調べる	to look into (a matter)
すてる	捨てる	to throw away
みえる	見える	to be visible
（～に）する		to decide on (an item)
（～を）そつぎょうする	卒業する	to graduate (from...)
よやくする	予約する	to reserve
いちにちじゅう	一日中	all day long
～けど		..., but; ..., so
さいきん	最近	recently
～について		about...; concerning...
～ばん	番	number...
～め	目	-th
もういちど	もう一度	one more time
ホテル		hotel
ビジネスホテル		business hotel
ユースホステル		youth hostel
りょかん	旅館		Japanese-style inn (Room prices usually include breakfast and dinner.)
みんしゅく	民宿	guest house (Room prices usually include breakfast and dinner.)
～はく	泊	... nights (何拍/一泊/二泊/三泊/四泊・・・・・・)
～つき	付	with...
しょくじつき	食事付	with meals
いっぱくにしょくつき	一泊二食付	one night with two meals
チェックインする		checking in
チェックアウトする		checking out
シングル		single room
ダブル		double room
ツイン		twin room
～めい	名	...person(s)
フロント		receptionist; front desk
うまれる	生まれる	to be born
げんばく	原爆	atomic bomb
のこす	残す	to leave; to preserve
へいわ	平和	peace
しま	島	island
みどり	緑	green
ちゅういする	注意する	to watch out
みなみ	南	south
いちねんじゅう	一年中	all year
たのしむ	楽しむ	to enjoy
しぜん	自然	nature
こうよう	紅葉	red leaves; autumn tints
たけ	竹	bamboo
はしる	走る	to run
けしき	景色	scenery
たてもの	建物	building
むかし	昔	old days
ビル		building
ちか	地下	underground
ひろば	広場	square; open space
せんそう	戦争	war
て	手	hand; arm
とおる	通る	to pass; to go through
ホームレス		homeless
