おきゃくさん	お客さん	guest; visitor; client; customer
おとこ	男	man
おゆ	お湯	hot water
おんな	女	woman
かぎ		lock; key
かみ	紙	paper
きゅうりょう	給料	salary
コンタクト		contact lenses
さいてい	最低	the lowest; the worst
サラリーマン		salaryman; company employee
ざんぎょう	残業	overtime work
ストーブ		heater
たからくじ	宝くじ	lottery
ちがい	違い	differences
ニュース		news
ひげ		beard
ひみつ	秘密	secret
りょう	寮	dormitory
りょこうがいしゃ	旅行会社	travel agency
うらやましい		envious
すくない	少ない	a little; a few
つよい	強い	strong
えらぶ	選ぶ	to choose; to select
おゆをわかす	お湯を沸かす	to boil water
かみをとかす	髪をとかす	to comb one's hair
こむ	込む	to get crowded
たからくじにあたる	宝くじに当たる	to win a lottery
ぬぐ	脱ぐ	to take off (clothes)
ひげをそる		to shave one's beard
いれる		to make tea, coffee, etc.
かぎをかける		to lock (～に)
たりる	足りる	to be sufficient; to be enough
なれる	慣れる	to get used to... (～に)
けしょうする	化粧する	to put makeup on
しゅうしょくする	就職する	to get a full-time job (at...) (company に)
する		to wear small items (necktie, watch, etc.)
りこんする	離婚する	to get a divorce
おめでとうございます		Congratulations!
～かな（あ）		I wonder... (casual)
じぶん	自分	oneself
ずいぶん		very
そうか		I see. (casual)
それに		moreover, ...
たとえば	例えば	for example
～にくらべて	～に比べて	compared with...
～によると		according to...
まえ	前	before...
やっぱり		after all
ろくじゅうねんだい	６０年代	60's
かんけい	関係	relations
げいじゅつ	芸術	art
おもに	主に	mainly
おんがくか	音楽家	musician
し	詩	poem
はっぴょうする	発表する	to make public; to publish
かぞえる	数える	to count
くも	雲	cloud
なまえをつける	名前をつける	to name
かんせいする	完成する	to be completed
このような		like this
さくひん	作品	artistic piece
てんらんかい	展覧会	art exhibition
ひらく	開く	to hold (an event)
てんじょう	天井	ceiling
もじ	文字	letter; character
～のてめのX		X for the sake of...
かつどう	活動	activities
はだか	裸	naked
ただしい	正しい	correct
大セット	だいセット	big hit
しかし		however
ぶんや	分野	field; realm
はいく	俳句	haiku (Japanese poetry)
はしご		ladders
むしめがね	虫眼鏡	magnifying glasses
しゅふ	主婦	"house husband"; "stay at home dad"
じゅうでうたれる	銃で撃たれる	be shot
