あと	後	the rest
エアコン		air conditioning
カーテン		curtain
ぎゅうにゅう	牛乳	milk
シャンプー		shampoo
しょうゆ	しょう油	soy sauce
スイッチ		switch
スカート		skirt
そと	外	outside
タオル		towel
にっき	日記	diary
ポップコーン		popcorn
やちん	家賃	rent
ゆうがた	夕方	evening
ラジカセ		casette player with a radio
るすばんでんわ	留守番電話	answering machine
れいぞうこ	冷蔵庫	refrigerator
ろうそく		candle
あかるい	明るい	bright
きぶんがわるい	気分が悪い	to feel sick
はずかしい	恥ずかしい	embarrassing; to feel embarrassed
あく	開く	(something) opens (～が)
あやまる	謝る	to apologize
おす	押す	to press; to push
おとす	落とす	to drop (something)
おゆがわく	お湯が沸く	water boils
ころぶ	転ぶ	to fall down
こわす	壊す	to break (something) (～を)
さく	咲く	to bloom
しまる	閉まる	(something) closes (～が)
たすかる	助かる	to be saved; to be helped
たのむ	頼む	to ask (a favor)
つく		(something) turns on (～が)
よごす	汚す	to make dirty (～を)
おちる	落ちる	(something) drops (～が)
かんがえる	考える	to think (about); to consider
きえる	消える	(something) goes off
こわれる	壊れる	(something) breaks (～が)
よごれる	汚れる	to become dirty (～が)
ちゅうもんする	注文する	to place an order
いますぐ	今すぐ	right away
おかげで		thanks to... (～の)
おさきにしつれいします	お先に失礼します	See you. (lit., I'm leaving ahead of you.)
おつかれさま（でした）	お疲れ様（でした）	You must be tired after working so hard. (ritualistic expression)
～（ん）だろう		short form of ～（ん）でしょう
どうしよう		What should I/we do?
ほんとうに	本当に	really
まず		first of all
～までに		by (time/date)
もくてき	目的	object; purpose
じょしがくせい	女子学生	female student
だんしがくせい	男子学生	male student
かていきょうし	家庭教師	tutor
ちからしごと	力仕事	physical labor such as construction
ようふく	洋服	clothes
サークル		club
せいかつひ	生活費	the cost of living
しゅるい	種類	a kind; a variety
じむ	事務	clerical work
せいかつのゆとり	生活のゆとり	extra money to spare for the cost of living
ちょきん	貯金	savings
ワンルームマンション		one-room apartment; a studio
しょくひ	食費	food cost
～だい	～代	charge; fee
でんきだい	電気代	charge for electricity
まいつき	毎月	every month
ひっこし	引っ越し	moving
はじめは	初めは	at first
したしい	親しい	close; intimate
