おくさま	奥様	(your/his) wife (polite)
おこさん	お子さん	(your/their) child (polite)
おれい	お礼	expression of gratitude
けいご	警護	honorific language
こちら		this way (polite)
しゅっちょう	出張	business trip
しゅるい	種類	a kind; a sort
せいかく	性格	personality
ちゅうがくせい	中学生	junior high school student
どちら		where (polite)
なまけもの	怠け者	lazy person
なやみ	悩み	worry
はずかしがりや	恥ずかしがり屋	shy person
はなし	話	chat; talk
ぶちょう	部長	department manager
ぶんか	文化	culture
まちがい	間違い	mistake
なかがいい	仲がいい	be on good/close terms; to get along well
まじめな		serious; sober; diligent
いらっしゃる		honorific expression for いく, くる, and いる
おくる	送る	to walk/drive (someone) (person を place まで)
おこる	怒る	to get angry
おっしゃる		honorific expression for いう
おやすみになる	お休みになる	honorific expression for ねる
きまる	決まる	to be decided （～が）
くださる	下さる	honorific expression for くれる
ごらんになる	ご覧になる	honorific expression for みる
しりあう	知り合う	to get acquainted with （～と）
ていらっしゃる		honorific expression for ～ている
なさる		honorific expression for する
ひっこす	引っ越す	to move (to another place to live) （～に）
めしあがる	召し上がる	honorific expression for たべる and のむ
よぶ	呼ぶ	to call (one's name); to invite
よる	寄る	to stop by
おくれる	遅れる	to become late
かける		to sit down
はれる	晴れる	to become sunny
もてる		to be popular (in terms of romantic interest) (people に)
えんりょする	遠慮する	to hold back for the time being; to refrain from
ごちそうする		to treat/invite (someone) to a meal (person に meal を)
しょうたいする	招待する	to invite someone (to an event/a place) (person を event/place に)
ちゅういする	注意する	to watch out; to give warning
はなしをする	話をする	to have a talk
おととい		the day before yesterday
なぜ		why （＝どうして）
ほんとうは	本当は	in fact; originally
まいあさ	毎朝	every morning
まだ		still
めいさま	名様	party of ...people
ようこそ		Welcome.
よろしくおつたえください	よろしくお伝えください	Please give my best regards (to...) （～に）
いかが		how (polite expression of どう)
たつ		(time) pass
ちゅう	中	while...
たいへん		greatly
おせわになる	お世話になる	to be in someone's care （～に）
おもいだす	思い出す	to recall
なつかしい		to miss; to long for
それでは		well then
みなさま	みな様	everyone (polite expression of みなさん)
たいせつにする	大切にする	to take good care of
とつぜん	突然	suddenly
ゆうじん	友人	friend
こくさい	国際	international
でんきこうがく	電気工学	electric engineering
けんきゅうする	研究する	to do research
うける	受ける	to take (an examination)
のために		for...
もうしこむ	申し込む	to apply （～に）
もし～たら		if...
しつもん	質問	question
もうしわけありません	申し訳ありません	You have my apologies.
どうぞよろしくおねがいします	どうぞよろしくお願いします	Thank you in advance.
