おもいで	思い出	memory
かいがいりょこう	海外旅行	trip to a foreign country
からだ	体	body
くつした	靴下	socks
こくさいでんわ	国際電話	international call
じゅぎょうりょう	授業料	tuition
しょうがっこう	小学校	elementary school
せんきょ	選挙	election
タイヤ		tire
ただ		free of charge
ばしょ	場所	place
べっそう	別荘	villa; vacation home
ボーナス		bonus
ぼんおどり	盆踊り	Bon dance (Japanese traditional dance)
めんせつ	面接	interview
ゆうしょく	夕食	dinner
りそう	理想	ideal
るすばん	留守番	looking after a house during one's absence
まずい		(food is) terrible
あめがやむ	雨がやむ	the rain stops
いなくなる		(someone) is gone; to disappear
おせわになる	お世話になる	to be in someone's care （～に）
おなかをこわす		to have a stomachache
ちがう	違う	to be different; wrong
なくなる		to be lost; to disappear
わるぐちをいう	悪口を言う	to talk behind someone's back
うける	受ける	to take (an examination, interview, etc.)
かえる	換える	to change
はなれる	離れる	(something/someone) separates; parts from
かおをする	顔をする	to look... (facial expression)
がっかりする		to be disappointed
がまんする	我慢する	to be tolerant/patient
せわをする	世話をする	to take care of... （～の）
どうじょうする	同情する	to sympathize （～に）
パンクする		(tire) goes flat
もどってくる	戻ってくる	(something/someone) comes back
ゆうしょうする	優勝する	to win a championship
いや		no
げんきでね	元気でね	Take care of yourself.
そうそう		You are right.
そろそろ		it is about time to...
そんな		such...; that kind of...
ものすごく		extremely
ひょうじょう	表情	facial expression
さいしょの	最初の	first...
さいごの	最後の	last...
じょうだん	冗談	joke
かんたんに	簡単に	easily
よこ	横	side
くらべる	比べる	to compare
くち	口	mouth
このように		like this; this way
によって		depending on...
にんげん	人間	human being
ほとんど		almost
おなじような	同じような	similar
しゃかい	社会	society
ちょうさ	調査	survey
けっか	結果	result
かんじょう	感情	feeling; emotion
あらわす	表す	to express; to show
ぜんいん	全員	all members
こたえ	答え	answer
けいべつ	軽蔑	contempt
