いしやま	石山	(family name)
はじめて	初めて	for the first time
しつれい	失礼	Excuse me
もうす	申す	(humble form of 言う)
おしえる	教える	to teach
まえ	前	before; in front
りゅうがく	留学	study abroad
こんど	今度	one of these days
みた	三田	(family name)
おおい	多い	there is/are a lot
だいがくいんせい	大学院生	graduate student
ブラウンくん	ブラウン君	Mr. Brown (casual)
でんきこうがく	電気工学	electrical engineering
せんこう	専攻	major
がくぶ	学部	college
きみも	君も	you too
じょうず	上手	good
こんど	今度	one of these days
おねがい	お願い	request, wish
とき	時	time
じつは	実は	actually; in fact
ちゅうがく	中学	junior high school
ぶんか	文化	culture
じょせい	女性	woman
かえる	帰る	to go home
とる	取る	to take
うまれる	生まれる	to be born
わたし	私	I
しごと	仕事	work, job
とまる	泊まる	to stay [over night] (v.i.)
きにいる	気に入る	to like ~; to be fond
あいだに	間に	while; during the time when; between
いえ	家	house
ところ	所	place
でんわ	電話	phone
にっき	日記	diary
なりた	成田	Narita [International Airport]
まち	町	town; city
つく	着く	to arrive
おなじ	同じ	same
じぶん	自分	oneself
ちかい	近い	close
あるく	歩く	to walk
げつようび	月曜日	Monday
だんせい	男性	man; male
きょねん	去年	last year
しかた	仕方	way [of doing something]
うつくしい	美しい	beautiful
ぶんぽう	文法	grammar
かんがえかた	考え方	way of thinking
