しょうかい	紹介	introduction
はじめて	初めて	for the first time
Vたばかり		have just done ~
いしやま	石山	(family name)
しつれいですが	失礼ですが	Excuse me [, but ...]
～でいらっしゃる		(honoric form of です)
もうす	申す	(humble form of 言う)
おしえる	教える	to teach
～ねんまえから	~年前から	since ~ years ago
りゅうがくする	留学する	to study abroad
みた	三田	(family name)
しゅくだい	宿題	homework
おおい	多い	there is/are a lot
がんばる		to do one's best; to try hard
だいがくいんせい	大学院生	graduate student
いけだ	池田	(family name)
ともだち	友達	friend
かとう	加藤	(family name)
ぼく	僕	I (used by male speakers towards equals or someone lower in status)
～くん	～君	(a form attached to a name in addressing someone. It is generaly used by male speakers towards someone equal or lower in status.)
だいがくいん	大学院	graduate school
でんきこうがく	電気工学	electrical engineering
（～を）せんこうする	専攻する	to major [in ~]
まゆみ		(family given name)
がくぶ	学部	college
きみ	君	you (informal for men)
しゅみ	趣味	hobby
(～が)じょうず（な）	上手	good [at ~]
こんど	今度	one of these days
いちど	一度	once
ぜひ		by all means
おねがいします	お願いします	Please. (lit., I request.)
ところで		by the way
まだまだです		[I am] not good yet.
きょうみ	興味	interest
じつは	実は	actually; in fact
ちゅうがく	中学	junior high school
となり	隣	next door; next to
かぞく	家族	family
いちろう	一郎	(male given name; often given to the oldest son)
あそぶ	遊ぶ	to play
ぶんか	文化	culture
ちしき	知識	knowledge
ほうふ（な）	豊富	bountiful; plenty
ひこうき	飛行機	airplane
（～に）すわる	座る	to sit [in/on ~]
じょせい	女性	woman
はなしかける	話しかける	to talk to
かえる	帰る	to go home
まえだ	前田	(family name)
ゆみ		(female given name)
せんげつ	先月	last month
（～を）そつぎょうする	卒業する	to graduate [from ~]
（～に）つとめる	勤める	to work [for ~]; to be employed [at ~]
～しゅうかん	週間	~ week[s]
きゅうか	休暇	vacation
とる	取る	to take
かえるところ（だ）	帰るところ	to be returning home
うまれる	生まれる	to be born
（～で）そだつ	育つ	to grow up [in ~] (v.i.)
～ことになっている		It has been arranged that
ひとばん	一晩	one night
とまる	泊まる	to stay [over night] (v.i.)
とても		very [much]
（～が）きにいる	気に入る	to like ~; to be fond [of ~]
あいだに	間に	while; during the time when
りょうしん	両親	parents
ところ	所	place
めいし	名刺	[name] card; business card
でんわばんごう	電話番号	telephone number
あおやま	青山	(family name)
ひろし	弘	(male given name)
にっき	日記	diary
なりた	成田	Narita [International Airport]
まち	町	town; city
（～に）つく	着く	to arrive [at ~]
じゅうすうじかん	十数時間	ten plus a few hours
かかる		it takes (with respect to time or money) (v.i.)
ひづけへんこうせん	日付変更線	International Date Line
おなじ	同じ	same
くうこう	空港	airport
むかえる	迎える	to welcome; to meet; to greet
みつかる		~ is found (v.i.)
とめる	泊める	to have ~ stay [over night] (v.t.)
～ことになる		it has been decided/arranged that ~
じぶん	自分	oneself
ファースト・ネーム		first name
（～を…で）よぶ	呼ぶ	to call ~ by ...
としうえ	年上	older
どうも		somehow; no matter how hard one may try
～にくい		hard to ~; difficult to ~
じさボケ	時差ボケ	jet lag
ねむる	眠る	to sleep
アパートさがし	アパート探し	apartment hunting
つれていく	連れていく	to take someone to
ちかく	近く	nearby; in the neighborhood
けっきょく	結局	finally; in the end
あるく	歩く	to walk
てきとう（な）	適当	appropriate; suitable
みつける	見つける	to find ~ (v.t.)
ひっこす	引っ越す	to move to a new place of residence
～ことにする		to decide to
こんばん	今晩	tonight
ちじん	知人	acquaintance
わかい	若い	young
だんせい	男性	man; male
ていねい（な）		polite
ペラペラ		fluently
じこしょうかい	自己紹介	self-introduction
びっくりする		to be surprised
きょねん	去年	last year
しかた	仕方	way [of doing something]
そのうち		before long
それから		and then; after that
ちゅうねん	中年	middle-aged
おたがい	お互い	each other
Vたら		when V
うつくしい	美しい	beautiful
むすめ	娘	daughter
とても～ない		can't possibly ~
ぶんぽう	文法	grammar
かんがえかた	考え方	way of thinking
ずいぶん		quite a lot
ちがう	違う	to differ; to be different
らしい		it seems that; evidently
カルチャーショック		culture shock
