たのむ	頼む	to request
わすれる	忘れる	to forget
さんまい	三枚	three flat objects
うける	受ける	to take [an exam]
もうしこむ	申し込む	to apply
きって	切手	postage stamp
おくる	送る	to send
へや	部屋	room
いたい	痛い	painful
わるい	悪い	bad
おも[な]	主[な]	main
りようする	利用する	to make use of
いちばん	一番	most
べんり[な]	便利[な]	convenient
はらう	払う	to pay
ちがう	違う	different
おこなう	行う	to carry out; to conduct (usually used in written language)
もくてき	目的	purpose
いがい	以外	other than
たすける	助ける	to help
にゅうがく	入学	admission to school
ぜんぶ	全部	all
おわる	終わる	something ends
きこくする	帰国する	to return to one's home country
かならずしも～ない	必ずしも～ない	not necessarily
おんがく	音楽	music
ともだち	友達	friend
かいわ	会話	dialogue
もの	者	person (＝人）
とくに	特に	particularly
