しゃしん	写真	picture; photograph
アメリカし	アメリカ史	American history
べつに	別に	not particularly
おにいさん	お兄さん	[someone else's] older brother
いもうと	妹	younger sister
あに	兄	older brother
にる	似る	to resemble
しゅう	州	province
じんこう	人口	population
まちがう	間違う	to make a mistake
ゆうめい[な]	有名[な]	famous
みずうみ	湖	lake
ふゆ	冬	winter
はる	春	spring
あき	秋	fall
しゅうまつ	週末	weekend
つれる	連れる	to lead
ゆうしょく	夕食	dinner (lit., evening meal)
ひさしぶり	久しぶり	for the first time in a long time
ほんとう	本当	really; truly
てがみ	手紙	letter
すえ	末	end
なつ	夏	summer
あつい	暑い	hot (with reference to weather)
ながい	長い	long
はやい	速い	fast; quick
こんがっき	今学期	this semester
せいかつ	生活	life
やくにたつ	役に立つ	to be useful
からだ	体	body; health
かわる	変わる	to change (v.i.)
ぶっきょう	仏教	Buddhism
しんぶんきじ	新聞記事	newspaper article
かんじ	漢字	Chinese character
いっかい	一回	per occasion
ごばい	五倍	5 times [as much]
こんばん	今晩	this evening
さいふ	財布	wallet
せい	背	one's height
べんごし	弁護士	lawyer
めずらしい	珍しい	rare
ぜんぜん	全然	not at all
しゅうと	州都	state capital
みなさん	皆さん	all of you
きょか	許可	permission
もとめる	求める	to request; to ask for
ぐうぜん	偶然	by chance
はいけい	拝啓	(formal greeting used at the beginning of a letter)
あたたかい	暖かい	pleasantly warm (with reference to weather)
こうよう	紅葉	fall colors [of leaves]
たつ	経つ	[time] passes
おもしろい	面白い	interesting
けいけん	経験	experience
すむ	済む	need
りょうり	料理	cooking; cuisine
もの	物	thing
たいじゅう	体重	[body] weight
たりる	足りる	to be sufficient
ひま[な]	暇[な]	free time
けいぐ	敬具	Sincerely (used at the end of a letter)
さま	様	Dear ~ (added to the name of the addressee at the end of a letter)
