きょか	許可	permission
ホームステイさき	ホームステイ先	留学生がホームステイをしている家
しゃしん	写真	picture; photograph
さいふ	財布	wallet
せい	背	one's height
アメリカし	アメリカ史	American history
べんごし	弁護士	lawyer
べつに～ない	別に～ない	not particularly
めずらしい	珍しい	rare
おにいさん	お兄さん	[someone else's] older brother
いもうとさん	妹さん	[someone else's] younger sister
（～に）にている	似ている	to resemble [~]
かわいい		cute; lovely
ぜんぜん～ない	全然～ない	not at all
しゅうと	州都	state capital
じんこう	人口	population
たしか		if I remember correctly
まちがう	間違う	to make a mistake
にばんめに（大きい]）	二番目に	second [largest]
へえ		Really? Gee! You're kidding.
ゆうめい（な）	有名	famous
ちじ	知事	governor
みずうみ	湖	lake
ふゆ	冬	winter
はる	春	spring
あき	秋	fall
すばらしい		wonderful; terrific
みなさん	皆さん	all of you
もとめる	求める	to request; to ask for
しゅうまつ	週末	weekend
こんどの	今度の	this [coming] ~
ぐうぜん	偶然	by chance
なんて		things like (＝などと)
ゆうしょく	夕食	dinner (lit., evening meal)
ひさしぶり	久しぶり	for the first time in a long time
（～に）する		to decide [~on]; to have/take [~]
Vたところだ		have just done something
ほんとうに	本当に	really; truly
かまいません		it's all right; one doesn't mind
うえだ	上田	(family name)
みちこ	みち子	(female given name)
はいけい	拝啓	(formal greeting used at the beginning of a letter)
すえ	末	end
あたたかい	暖かい	pleasantly warm (with reference to weather)
なつ	夏	summer
Nのように		like N
あつい	暑い	hot (with reference to weather)
さえ		even
こうよう	紅葉	fall colors [of leaves]
ながい	長い	long
ごぶさたする		to neglect to write for a long time; not to correspond for some time
そのご	その後	since I saw you last; since that time
いつのまにか		before I knew it
たつ	経つ	[time] passes
おもしろい	面白い	interesting
けいけん	経験	experience
はやい	速い	fast; quick
こんがっき	今学期	this semester
だいぶ		fairly well; to a large extent; pretty much
せいかつ	生活	life
（～に）なれる		to be accustomed to [to~]
やくにたつ	役に立つ	to be useful
ひどい		terrible; awful
ショック		shock
～ないですむ	~ないで済む	to get by without ~ing; to come off without ~
たすかる	助かる	to be saved; [something] helps (v.i.)
りょうり	料理	cooking; cuisine
からだ	体	body; health
ずいぶん		quite a lot
たいじゅう	体重	[body] weight
かわる	変わる	to change (v.i.)
ぶっきょう	仏教	Buddhism
しんぶんきじ	新聞記事	newspaper article
かんじ	漢字	Chinese character
いっかい	一回	per occasion
～ばい	倍	~ times [as much]
～すぎる		to do something too much; too ~
たりる	足りる	to be sufficient
ひまなとき	暇な時	free time
かた	方	(honorific form for 人)
（～に）よろしく		Say hello [to ~] for me.
けいぐ	敬具	Sincerely (used at the end of a letter)
～さま	様	Dear ~ (added to the name of the addressee at the end of a letter)
